"","X.1","X","text","scores"
"1",1,1,"Critical question Was PayTM informed about Demonetization edict by PM Its clearly fishy and requires full disclosure amp…",0
"2",2,2,"Did you vote on Demonetization on Modi survey app",0
"3",3,3,"Former FinSec RBI Dy Governor CBDT ChairHarvard Professor lambaste Demonetization

If not for Aam Aadmi listen to th…",0
"4",4,4,"Gurugram Haryana Post office employees provide cash exchange to patients in hospitals demonetization",0
"5",5,5,"Reddy Wedding mailtoday cartoon demonetization ReddyWedding",0
"6",6,6,"DerekScissors India’s demonetization Blackmoney a symptom not the disease",0
"7",7,7,"Rslakh looted from a bank in Kishtwar in JampK Third such incident since demonetization Thats how terrorists have…",0
"8",8,8,"Calling all Nationalists to join
Walk for CorruptionFreeIndia and spread the benefits of Demonetization among the mas…",0
"9",9,9,"Many opposition leaders are with narendramodi on the Demonetization 
And respect their decisionbut support oppositio…",0
"10",10,10,"National reform now destroyed even the essence of sagan Such instances urge giving demonetization a second though…",0
"11",11,11,"Many opposition leaders are with narendramodi on the Demonetization 
And respect their decisionbut support opposition just bcoz of party",0
"12",12,12,"Question in Narendra Modi App where PM is taking feedback if people support his DeMonetization strategy",0
"13",13,13,"Jaggesh Bharat band on edUAUBDedUBUThose whoare protesting demonetizationare all different party leaders",0
"14",14,14,"The effect of Demonetization",0
"15",15,15,"When I explained Demonetization to myself and tried to put it down in my words which are not laced with any heavy technical…",0
"16",16,16,"The Modi app on DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards…",0
"17",17,17,"BEFORE and AFTER Gandhi ji heard they are standing there against Demonetization",0
"18",18,18,"Demonetization The cooperative banking sector in Kerala is as good as a tax haven Is Kerala a Black Money HQ",0
"19",19,19,"narendramodi
Swamy
The success of Demonetization will depend on how swiftly govt replenish the currency

Pls avoid Ba…",0
"20",20,20,"Doltiwal I mean JaiChandKejriwal is hurt by Demonetization as the same has rendered USELESS edUAUBDedUBU acquired funds No wo…",0
"21",21,21,"Demonetization Is Disasternaampk",0
"22",22,22,"After the demonetization searches about NarendraModis app are trending on app stores",0
"23",23,23,"Teacher is there anybody who is absent today
No response 
Teacher saysattendance 
Demonetization App survey
DonMu…",0
"24",24,24,"This tweet of minimathur BIBI explains why she is having a prob with demonetization In first part she says she cant…",0
"25",25,25,"demonetization is Communal and Black Money is Secular",0
"26",26,26,"LOL Demonetization Effect",0
"27",27,27,"RT roshankar Harvards Larry Summers calls Demonetization as poor policy with disproportionate negative impact o…",0
"28",28,28,"arunjaitley narendramodi Lrnd frm a frndBanks r asking employees to comeback sales amp BAU Operations Demonetization",0
"29",29,29,"Ts is exactly what Pappu amp opposition has done to themselves by opposing Demonetization Now none can stop Modi bandwagon ti…",0
"30",30,30,"Harvards Larry Summers calls Demonetization as poor policy with disproportionate negative impact on poortrade",0
"31",31,31,"dineshgrao you havek followers yet you are not getting enough likes for your tweets against demonetization You need to introspect",0
"32",32,32,"DeMonetization EffectVisa Master Card Amex all Accepted",0
"33",33,33,"DeMonetization survey results afterhours
Lacs opinions
Amazing responseamp Commitment in fight against Blackmoney
na…",0
"34",34,34,"demonetization eye opener video bt i doubt as few jurnos dont want hear ve of narendramodi sardesairajdeep ravishndtv…",0
"35",35,35,"Survey result so far by PMOIndia on Demonetizationlakh response inhrssupports note ban MeraDeshBadalRaha…",0
